Name,Position,Market_Value,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,PrgC,PrgP,PrgR,Gls (90),Ast (90),G+A (90),G-PK (90),G+A-PK (90)
Willy Caballero,Goalkeeper,-500000.0,0.0,6.0,4.0,412.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wissam Ben Yedder,Attack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wylan Cyprien,Midfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xherdan Shaqiri,Attack,-15000000.0,-3.0,-23.0,-24.0,-1966.0,-21.9,-8.0,-5.0,-13.0,-8.0,0.0,-1.0,-3.0,0.0,-60.0,-75.0,-170.0,-0.24,-0.0399999999999999,-0.27,-0.24,-0.27
Ximo Navarro,Defender,9000000.0,-6.0,0.0,-7.0,-502.0,-5.600000000000001,9.0,1.0,10.0,9.0,0.0,0.0,-5.0,0.0,7.0,-48.0,122.0,0.38,0.06,0.4399999999999999,0.38,0.4399999999999999
Yacine Adli,Attack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yacine Bammou,Attack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yann Bodiger,Midfield,-1000000.0,-2.0,22.0,18.0,1626.0,18.1,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,42.0,57.0,43.0,0.0,0.05,0.05,0.0,0.05
Yann Karamoh,Attack,10000000.0,9.0,19.0,31.0,2631.0,29.300000000000004,1.0,2.0,3.0,1.0,0.0,0.0,8.0,0.0,64.0,116.0,67.0,-0.12,0.06,-0.06,-0.12,-0.06
Yann Sommer,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yannick Cahuzac,Midfield,14250000.0,-11.0,8.0,-1.0,256.0,2.8000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,36.0,28.0,0.0,0.0,0.0,0.0,0.0
