,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,#NAME?
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
2116,Ronny Rodelin,fr FRA,FWMF,Caen,fr Ligue 1,27,1989,37,36,3161,35.1,5,6,11,5,0,1,1,0,8,7.3,7.4,14.6,87,220,251,0.14,0.17,0.31,0.14,0.31,0.23,0.21,0.44,0.21,0.42,Matches,1f8c7aa9
2117,Rodri,es ESP,MF,Villarreal,es La Liga,21,1996,37,36,3227,35.9,1,3,4,1,0,0,8,0,1.5,1.5,1.7,3.3,28,208,26,0.03,0.08,0.11,0.03,0.11,0.04,0.05,0.09,0.04,0.09,Matches,6434f10d
2118,Rodrigo,es ESP,FW,Valencia,es La Liga,26,1991,37,31,2684,29.8,16,4,20,15,1,1,4,0,13.5,12.8,4,16.8,105,116,264,0.54,0.13,0.67,0.5,0.64,0.45,0.13,0.59,0.43,0.56,Matches,1fb1c435
2119,Kévin Rodrigues,pt POR,DF,Real Sociedad,es La Liga,23,1994,20,18,1635,18.2,1,2,3,1,0,0,1,0,0.4,0.4,0.9,1.3,40,65,103,0.06,0.11,0.17,0.06,0.17,0.02,0.05,0.07,0.02,0.07,Matches,f1bed920
2120,Ángel Rodríguez,es ESP,FW,Getafe,es La Liga,30,1987,33,26,2293,25.5,13,2,15,13,0,1,6,0,11,10.3,3.7,14,39,33,150,0.51,0.08,0.59,0.51,0.59,0.43,0.15,0.58,0.4,0.55,Matches,8cfc2f69
2121,Iván Rodríguez,es ESP,DF,Málaga,es La Liga,21,1996,1,0,20,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,aa55fe48
2122,James Rodríguez,co COL,MFFW,Bayern Munich,de Bundesliga,26,1991,23,19,1621,18,7,11,18,7,0,0,2,0,4.8,4.8,7.5,12.4,37,204,157,0.39,0.61,1,0.39,1,0.27,0.42,0.69,0.27,0.69,Matches,715bf047
2123,Jay Rodriguez,eng ENG,FWMF,West Brom,eng Premier League,28,1989,37,31,2812,31.2,7,1,8,6,1,1,2,0,8.4,7.6,1.6,9.2,47,52,166,0.22,0.03,0.26,0.19,0.22,0.27,0.05,0.32,0.24,0.3,Matches,4ab53cdb
2124,Ricardo Rodríguez,ch SUI,DF,Milan,it Serie A,24,1992,34,34,3005,33.4,1,0,1,0,1,2,4,2,2.3,0.8,1.9,2.7,89,199,147,0.03,0,0.03,0,0,0.07,0.06,0.13,0.02,0.08,Matches,7f78ad23
2125,Marko Rog,hr CRO,MFFW,Napoli,it Serie A,22,1995,28,0,289,3.2,1,0,1,1,0,0,2,0,0.7,0.7,0.5,1.2,17,19,18,0.31,0,0.31,0.31,0.31,0.23,0.17,0.4,0.23,0.4,Matches,b6b2b820
2126,Rogério,br BRA,DF,Sassuolo,it Serie A,19,1998,13,10,910,10.1,0,0,0,0,0,0,4,0,0.1,0.1,0.4,0.5,24,44,19,0,0,0,0,0,0.01,0.04,0.05,0.01,0.05,Matches,10e7f486
2127,Marcus Rohdén,se SWE,MF,Crotone,it Serie A,26,1991,26,20,1632,18.1,2,0,2,2,0,0,2,0,1.6,1.6,0.7,2.3,23,44,67,0.11,0,0.11,0.11,0.11,0.09,0.04,0.12,0.09,0.12,Matches,b5b27493
2128,Marcos Rojo,ar ARG,DF,Manchester Utd,eng Premier League,27,1990,9,8,640,7.1,0,0,0,0,0,0,6,0,0.2,0.2,0.1,0.2,3,13,1,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,Matches,e0991c04
2129,Diego Rolán,uy URU,FWMF,Málaga,es La Liga,24,1993,26,21,1946,21.6,5,0,5,5,0,0,0,0,5.6,5.6,1.3,6.9,59,57,165,0.23,0,0.23,0.23,0.23,0.26,0.06,0.32,0.26,0.32,Matches,d1491e00
2130,Rolando,pt POR,DF,Marseille,fr Ligue 1,31,1985,31,28,2511,27.9,1,0,1,1,0,0,5,0,2.5,2.5,0.2,2.7,5,60,2,0.04,0,0.04,0.04,0.04,0.09,0.01,0.1,0.09,0.1,Matches,0eeafda5
2131,Esteban Rolón,ar ARG,MF,Málaga,es La Liga,22,1995,8,6,418,4.6,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,7,10,3,0,0,0,0,0,0.01,0,0.02,0.01,0.02,Matches,10e25802
2132,Filippo Romagna,it ITA,DF,Cagliari,it Serie A,20,1997,23,21,1888,21,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,22,94,4,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,Matches,84594618
2133,Alessio Romagnoli,it ITA,DF,Milan,it Serie A,22,1995,28,27,2353,26.1,2,0,2,2,0,0,8,2,1.1,1.1,0.3,1.4,21,81,6,0.08,0,0.08,0.08,0.08,0.04,0.01,0.05,0.04,0.05,Matches,3ead85f9
2134,Simone Romagnoli,it ITA,DF,Bologna,it Serie A,27,1990,8,6,557,6.2,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,4,20,0,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,Matches,09899de8
2135,Aristóteles Romero,ve VEN,MFFW,Crotone,it Serie A,21,1995,6,0,86,1,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,4,8,1,0,0,0,0,0,0.07,0.02,0.09,0.07,0.09,Matches,9f069180
2136,Óscar Romero,py PAR,MFFW,Alavés,es La Liga,25,1992,5,2,251,2.8,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,2,6,8,0,0,0,0,0,0.08,0.1,0.18,0.08,0.18,Matches,4bc5f2b4
2137,Sergio Romero,ar ARG,GK,Manchester Utd,eng Premier League,30,1987,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1e26e376
2138,Oriol Romeu,es ESP,MF,Southampton,eng Premier League,25,1991,34,34,2897,32.2,1,0,1,1,0,0,11,0,2.6,2.6,1.4,4,44,201,16,0.03,0,0.03,0.03,0.03,0.08,0.04,0.13,0.08,0.13,Matches,4b511457
2139,Rômulo,it ITA,MFDF,Hellas Verona,it Serie A,30,1987,37,36,3168,35.2,3,5,8,1,2,2,7,0,3.9,2.3,3.6,5.9,149,121,151,0.09,0.14,0.23,0.03,0.17,0.11,0.1,0.21,0.07,0.17,Matches,07abb358
2140,Cristiano Ronaldo,pt POR,FW,Real Madrid,es La Liga,32,1985,27,27,2285,25.4,26,5,31,23,3,4,1,0,25.2,22,5,27,118,99,298,1.02,0.2,1.22,0.91,1.1,0.99,0.2,1.19,0.86,1.06,Matches,dea698d9
2141,Facundo Roncaglia,ar ARG,DF,Celta Vigo,es La Liga,30,1987,21,17,1492,16.6,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.5,13,60,9,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,Matches,51e3954c
2142,Salomón Rondón,ve VEN,FW,West Brom,eng Premier League,27,1989,36,32,2767,30.7,7,3,10,7,0,0,4,0,7,7,2.8,9.8,45,66,201,0.23,0.1,0.33,0.23,0.33,0.23,0.09,0.32,0.23,0.32,Matches,b318a643
2143,Valentin Rongier,fr FRA,MF,Nantes,fr Ligue 1,22,1994,32,29,2350,26.1,1,2,3,1,0,0,1,0,1.9,1.9,2.1,4,30,155,100,0.04,0.08,0.11,0.04,0.11,0.07,0.08,0.15,0.07,0.15,Matches,ed45c4a5
2144,Marten de Roon,nl NED,MF,Atalanta,it Serie A,26,1991,34,29,2571,28.6,3,3,6,2,1,2,9,2,3.4,1.8,1.4,3.2,31,205,33,0.11,0.11,0.21,0.07,0.18,0.12,0.05,0.17,0.06,0.11,Matches,2a1beb34
2145,Wayne Rooney,eng ENG,MFFW,Everton,eng Premier League,31,1985,31,27,2268,25.2,10,2,12,7,3,6,5,0,8.6,3.8,2.2,6,26,122,91,0.4,0.08,0.48,0.28,0.36,0.34,0.09,0.43,0.15,0.24,Matches,f07be45a
2146,Roberto Rosales,ve VEN,DF,Málaga,es La Liga,28,1988,35,35,3123,34.7,1,0,1,1,0,0,10,0,0.6,0.6,3.8,4.3,47,153,113,0.03,0,0.03,0.03,0.03,0.02,0.11,0.12,0.02,0.12,Matches,81069528
2147,Danny Rose,eng ENG,DF,Tottenham,eng Premier League,27,1990,10,9,800,8.9,0,1,1,0,0,0,4,0,0.6,0.6,0.6,1.2,36,56,77,0,0.11,0.11,0,0.11,0.07,0.07,0.14,0.07,0.14,Matches,89d10e53
2148,Liam Rosenior,eng ENG,DF,Brighton,eng Premier League,33,1984,3,1,164,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,5,2,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches,8b0d6fe9
2149,Aleandro Rosi,it ITA,DF,Genoa,it Serie A,30,1987,24,22,1700,18.9,0,1,1,0,0,0,5,0,1.1,1.1,1.1,2.3,33,55,78,0,0.05,0.05,0,0.05,0.06,0.06,0.12,0.06,0.12,Matches,1b729ba2
2150,Valentin Rosier,fr FRA,DF,Dijon,fr Ligue 1,20,1996,36,31,2780,30.9,0,3,3,0,0,0,5,0,1,1,2.5,3.5,78,102,121,0,0.1,0.1,0,0.1,0.03,0.08,0.11,0.03,0.11,Matches,9b6d9b53
2151,Luca Rossettini,it ITA,DF,Genoa,it Serie A,32,1985,23,22,2027,22.5,0,0,0,0,0,0,7,0,1,1,0.1,1.2,7,52,6,0,0,0,0,0,0.05,0.01,0.05,0.05,0.05,Matches,47a500ae
2152,Francesco Rossi,it ITA,GK,Atalanta,it Serie A,26,1991,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7b5f516f
2153,Giuseppe Rossi,it ITA,FWMF,Genoa,it Serie A,30,1987,9,1,260,2.9,1,0,1,1,0,0,0,0,2.1,2.1,0.3,2.4,4,11,21,0.35,0,0.35,0.35,0.35,0.72,0.12,0.83,0.72,0.83,Matches,fe48a073
2154,Jérôme Roussillon,fr FRA,DF,Montpellier,fr Ligue 1,24,1993,22,22,1880,20.9,3,3,6,3,0,0,2,0,1.7,1.7,3.8,5.5,72,80,125,0.14,0.14,0.29,0.14,0.29,0.08,0.18,0.26,0.08,0.26,Matches,13203c45
2155,Wayne Routledge,eng ENG,MFFW,Swansea City,eng Premier League,32,1985,15,4,429,4.8,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.8,9,17,36,0,0,0,0,0,0.09,0.09,0.17,0.09,0.17,Matches,1d387eee
2156,Nolan Roux,fr FRA,FWMF,Metz,fr Ligue 1,29,1988,35,33,2834,31.5,15,1,16,15,0,1,8,0,9,8.2,1.9,10.1,42,81,216,0.48,0.03,0.51,0.48,0.51,0.29,0.06,0.35,0.26,0.32,Matches,3071a619
2157,Rubén,es ESP,GK,La Coruña,es La Liga,33,1984,28,27,2478,27.5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,24279b8b
2158,Antonio Rüdiger,de GER,DF,Chelsea,eng Premier League,24,1993,27,25,2338,26,2,1,3,2,0,0,4,0,1.7,1.7,0.4,2.1,33,121,7,0.08,0.04,0.12,0.08,0.12,0.07,0.01,0.08,0.07,0.08,Matches,18b896d6
2159,Sebastian Rudy,de GER,MF,Bayern Munich,de Bundesliga,27,1990,25,16,1515,16.8,1,4,5,1,0,0,2,0,0.9,0.9,1.4,2.3,9,121,44,0.06,0.24,0.3,0.06,0.3,0.05,0.09,0.14,0.05,0.14,Matches,80f36c88
2160,Stéphane Ruffier,fr FRA,GK,Saint-Étienne,fr Ligue 1,30,1986,35,35,3112,34.6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,cac76a72
2161,Vincent Rüfli,ch SUI,DFFW,Dijon,fr Ligue 1,29,1988,3,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Matches,a87e9eb6
2162,Daniele Rugani,it ITA,DF,Juventus,it Serie A,23,1994,22,22,1935,21.5,2,1,3,2,0,0,3,0,1,1,0.6,1.7,8,39,2,0.09,0.05,0.14,0.09,0.14,0.05,0.03,0.08,0.05,0.08,Matches,14b8fcdf
2163,Mário Rui,pt POR,DF,Napoli,it Serie A,26,1991,25,24,2087,23.2,2,2,4,2,0,0,9,2,0.3,0.3,2.9,3.2,67,137,145,0.09,0.09,0.17,0.09,0.17,0.01,0.13,0.14,0.01,0.14,Matches,0b5a292a
2164,Aitor Ruibal,es ESP,MF,Betis,es La Liga,21,1996,2,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Matches,a55d8df5
2165,Fabián Ruiz Peña,es ESP,MF,Betis,es La Liga,21,1996,34,30,2659,29.5,3,6,9,3,0,0,3,0,1.6,1.6,2.2,3.9,68,211,106,0.1,0.2,0.3,0.1,0.3,0.06,0.08,0.13,0.06,0.13,Matches,c0c7ff58
2166,Víctor Ruiz,es ESP,DF,Villarreal,es La Liga,28,1989,27,27,2416,26.8,2,1,3,2,0,0,10,1,0.8,0.8,0.1,1,4,57,4,0.07,0.04,0.11,0.07,0.11,0.03,0,0.04,0.03,0.04,Matches,b3dc6eca
2167,Antonio Rukavina,rs SRB,DF,Villarreal,es La Liga,33,1984,17,14,1272,14.1,0,0,0,0,0,0,5,0,0.1,0.1,0.6,0.7,12,36,43,0,0,0,0,0,0.01,0.04,0.05,0.01,0.05,Matches,e12d7851
2168,Gerónimo Rulli,ar ARG,GK,Real Sociedad,es La Liga,25,1992,26,26,2340,26,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,625c144a
2169,Lukas Rupp,de GER,MFFW,Hoffenheim,de Bundesliga,26,1991,21,15,1160,12.9,3,2,5,3,0,0,1,0,2.4,2.4,2,4.4,28,51,64,0.23,0.16,0.39,0.23,0.39,0.19,0.16,0.34,0.19,0.34,Matches,3faa1780
2170,Marco Russ,de GER,DF,Eint Frankfurt,de Bundesliga,31,1985,19,12,1145,12.7,1,0,1,1,0,0,3,0,0.5,0.5,0.1,0.7,8,59,3,0.08,0,0.08,0.08,0.08,0.04,0.01,0.05,0.04,0.05,Matches,e26c4233
2171,Mathew Ryan,au AUS,GK,Brighton,eng Premier League,25,1992,38,38,3420,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4535e4bb
2172,Idriss Saadi,dz ALG,FW,Strasbourg,fr Ligue 1,25,1992,26,10,941,10.5,4,0,4,4,0,0,1,0,3.7,3.7,0.5,4.2,12,15,65,0.38,0,0.38,0.38,0.38,0.35,0.05,0.4,0.35,0.4,Matches,17f29fb0
2173,Youssouf Sabaly,sn SEN,DF,Bordeaux,fr Ligue 1,24,1993,35,35,3093,34.4,0,5,5,0,0,0,3,0,0.6,0.6,3.7,4.3,105,170,145,0,0.15,0.15,0,0.15,0.02,0.11,0.12,0.02,0.12,Matches,fbbb9269
2174,Abdelhamid Sabiri,ma MAR,MF,Huddersfield,eng Premier League,20,1996,5,2,220,2.4,0,1,1,0,0,0,1,0,0.3,0.3,0.1,0.4,2,13,8,0,0.41,0.41,0,0.41,0.11,0.06,0.17,0.11,0.17,Matches,4830e0af
2175,Marcel Sabitzer,at AUT,MFFW,RB Leipzig,de Bundesliga,23,1994,22,21,1790,19.9,3,5,8,3,0,0,4,0,3.8,3.8,3.3,7.1,37,112,157,0.15,0.25,0.4,0.15,0.4,0.19,0.17,0.36,0.19,0.36,Matches,e280527c
2176,Enric Saborit,es ESP,DF,Athletic Club,es La Liga,25,1992,19,16,1428,15.9,0,1,1,0,0,0,5,0,0.2,0.2,0.5,0.7,29,40,55,0,0.06,0.06,0,0.06,0.01,0.03,0.04,0.01,0.04,Matches,eb5bc3eb
2177,Ihsan Sacko,fr FRA,FWMF,Nice,fr Ligue 1,20,1997,8,3,257,2.9,0,1,1,0,0,0,1,0,0,0,0.6,0.6,7,5,18,0,0.35,0.35,0,0.35,0,0.21,0.21,0,0.21,Matches,68a87d66
2178,Ihsan Sacko,fr FRA,FWMF,Strasbourg,fr Ligue 1,20,1997,17,8,709,7.9,0,0,0,0,0,0,1,0,0.6,0.6,0.7,1.3,16,13,41,0,0,0,0,0,0.08,0.09,0.17,0.08,0.17,Matches,68a87d66
2179,Mujaid Sadick,es ESP,DF,La Coruña,es La Liga,17,2000,2,1,106,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Matches,21164a21
2180,Armando Sadiku,al ALB,FW,Levante,es La Liga,26,1991,6,4,267,3,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,1,6,16,0,0,0,0,0,0.06,0.01,0.07,0.06,0.07,Matches,8b6d1830
2181,Umar Sadiq,ng NGA,FW,Torino,it Serie A,20,1997,3,3,225,2.5,0,0,0,0,0,0,0,0,0.9,0.9,0,0.9,5,0,24,0,0,0,0,0,0.38,0,0.38,0.38,0.38,Matches,686cbe7d
2182,Bacary Sagna,fr FRA,DF,Benevento,it Serie A,34,1983,13,10,957,10.6,1,0,1,1,0,0,1,0,0.3,0.3,1.5,1.8,17,49,34,0.09,0,0.09,0.09,0.09,0.02,0.14,0.17,0.02,0.17,Matches,6ef56efd
2183,Adrián Sahibeddine,fr FRA,FWMF,Dijon,fr Ligue 1,22,1994,3,0,32,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,0,2,0,0,0,0,0,0.4,0,0.4,0.4,0.4,Matches,22c77851
2184,Nuri Şahin,tr TUR,MF,Dortmund,de Bundesliga,28,1988,18,14,1225,13.6,2,2,4,2,0,0,2,0,2.1,2.1,3.2,5.3,19,147,25,0.15,0.15,0.29,0.15,0.29,0.15,0.24,0.39,0.15,0.39,Matches,f4081572
2185,Wesley Saïd,fr FRA,FWMF,Dijon,fr Ligue 1,22,1995,29,20,1839,20.4,9,2,11,9,0,0,4,0,4.3,4.3,2.1,6.4,34,46,124,0.44,0.1,0.54,0.44,0.54,0.21,0.1,0.31,0.21,0.31,Matches,90fcf472
2186,Allan Saint-Maximin,fr FRA,FWMF,Nice,fr Ligue 1,20,1997,30,26,2246,25,3,7,10,3,0,0,1,0,3.9,3.9,4.9,8.8,183,85,272,0.12,0.28,0.4,0.12,0.4,0.16,0.19,0.35,0.16,0.35,Matches,2b16cb1a
2187,Allan Saint-Maximin,fr FRA,MF,Monaco,fr Ligue 1,20,1997,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0.3,0.3,1,0,1,0,0,0,0,0,0,1.67,1.67,0,1.67,Matches,2b16cb1a
2188,Henri Saivet,sn SEN,MF,Newcastle Utd,eng Premier League,26,1990,1,1,83,0.9,1,0,1,1,0,0,0,0,0.1,0.1,0,0.1,0,1,0,1.08,0,1.08,1.08,1.08,0.05,0,0.05,0.05,0.05,Matches,f3709655
2189,Gōtoku Sakai,jp JPN,DFMF,Hamburger SV,de Bundesliga,26,1991,28,26,2289,25.4,0,0,0,0,0,0,2,0,0.7,0.7,0.7,1.4,48,151,68,0,0,0,0,0,0.03,0.03,0.06,0.03,0.06,Matches,c8e25f78
2190,Hiroki Sakai,jp JPN,DF,Marseille,fr Ligue 1,27,1990,33,30,2520,28,0,3,3,0,0,0,1,0,0.1,0.1,1.4,1.5,50,112,117,0,0.11,0.11,0,0.11,0,0.05,0.05,0,0.05,Matches,d63e2912
2191,Diafra Sakho,sn SEN,FW,West Ham,eng Premier League,27,1989,14,0,306,3.4,2,0,2,2,0,0,2,0,1.4,1.4,0.1,1.5,4,6,22,0.59,0,0.59,0.59,0.59,0.42,0.02,0.43,0.42,0.43,Matches,57c433c8
2192,Diafra Sakho,sn SEN,FW,Rennes,fr Ligue 1,27,1989,13,7,778,8.6,2,0,2,2,0,0,1,0,4.1,4.1,0.2,4.4,4,7,43,0.23,0,0.23,0.23,0.23,0.48,0.02,0.5,0.48,0.5,Matches,57c433c8
2193,Mamadou Sakho,fr FRA,DF,Crystal Palace,eng Premier League,27,1990,19,18,1600,17.8,1,2,3,1,0,0,1,0,1.2,1.2,1.1,2.3,4,43,3,0.06,0.11,0.17,0.06,0.17,0.07,0.06,0.13,0.07,0.13,Matches,87935cf3
2194,Bakary Sako,ml MLI,FWMF,Crystal Palace,eng Premier League,29,1988,16,4,478,5.3,3,0,3,3,0,0,0,0,1.9,1.9,1.1,3,20,8,43,0.56,0,0.56,0.56,0.56,0.36,0.2,0.56,0.36,0.56,Matches,381d7d54
2195,Emiliano Sala,ar ARG,FW,Nantes,fr Ligue 1,26,1990,36,34,3031,33.7,12,4,16,8,4,5,4,1,16.2,12.3,2.7,15,34,67,223,0.36,0.12,0.48,0.24,0.36,0.48,0.08,0.56,0.36,0.45,Matches,5d59e0df
2196,Jacopo Sala,it ITA,DF,Sampdoria,it Serie A,25,1991,13,12,992,11,0,0,0,0,0,0,1,1,0.1,0.1,0.2,0.2,24,62,29,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,Matches,da5a981b
2197,Mohamed Salah,eg EGY,FW,Liverpool,eng Premier League,25,1992,36,34,2907,32.3,32,10,42,31,1,2,1,0,24.1,22.6,7.5,30.1,95,97,393,0.99,0.31,1.3,0.96,1.27,0.75,0.23,0.98,0.7,0.93,Matches,e342ad68
2198,Bartosz Salamon,pl POL,DF,SPAL,it Serie A,26,1991,22,20,1725,19.2,0,0,0,0,0,0,5,0,1,1,0.3,1.3,28,90,5,0,0,0,0,0,0.05,0.02,0.07,0.05,0.07,Matches,9b30df1e
2199,Carlos Salcedo,mx MEX,DF,Eint Frankfurt,de Bundesliga,23,1993,20,17,1607,17.9,0,0,0,0,0,0,5,0,0.2,0.2,0,0.2,6,65,7,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches,64c07ae1
2200,Eddie Salcedo,it ITA,FW,Genoa,it Serie A,15,2001,2,0,34,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0.24,0,0.24,0.24,0.24,Matches,0489bb30
2201,Yannis Salibur,fr FRA,FWMF,Guingamp,fr Ligue 1,26,1991,22,19,1521,16.9,3,3,6,3,0,0,4,0,3.7,3.7,3.7,7.4,73,66,136,0.18,0.18,0.36,0.18,0.36,0.22,0.22,0.44,0.22,0.44,Matches,bb4a42be
2202,Sejad Salihović,ba BIH,MF,Hamburger SV,de Bundesliga,32,1984,10,4,370,4.1,1,1,2,0,1,1,1,0,1,0.2,0.6,0.9,4,19,23,0.24,0.24,0.49,0,0.24,0.24,0.16,0.4,0.06,0.22,Matches,a4e14205
2203,Yoann Salmier,gf GUF,DF,Strasbourg,fr Ligue 1,24,1992,14,12,1107,12.3,0,1,1,0,0,0,2,0,0.4,0.4,0.1,0.6,6,29,2,0,0.08,0.08,0,0.08,0.03,0.01,0.05,0.03,0.05,Matches,c3725db2
2204,Mamadou Samassa,ml MLI,GK,Troyes,fr Ligue 1,27,1990,21,21,1890,21,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches,cfe852d8
2205,Brice Samba,fr FRA,GK,Caen,fr Ligue 1,23,1994,4,3,316,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,60d90c55
2206,Junior Sambia,fr FRA,MF,Montpellier,fr Ligue 1,20,1996,28,16,1543,17.1,1,4,5,1,0,0,3,0,1.9,1.9,3.4,5.3,44,76,131,0.06,0.23,0.29,0.06,0.29,0.11,0.2,0.31,0.11,0.31,Matches,24eb7ed6
2207,Frédéric Sammaritano,fr FRA,FWMF,Dijon,fr Ligue 1,31,1986,26,16,1429,15.9,0,4,4,0,0,0,1,0,1.7,1.7,2.3,4,45,76,109,0,0.25,0.25,0,0.25,0.11,0.14,0.25,0.11,0.25,Matches,8802c1d5
2208,Sergi Samper,es ESP,MF,Las Palmas,es La Liga,22,1995,2,2,143,1.6,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,Matches,6a7586f4
2209,Jairo Samperio,es ESP,FWMF,Las Palmas,es La Liga,24,1993,11,6,556,6.2,0,0,0,0,0,0,1,0,0.7,0.7,0.4,1.1,12,18,44,0,0,0,0,0,0.11,0.07,0.18,0.11,0.18,Matches,c0a0c18f
2210,Jairo Samperio,es ESP,MFFW,Mainz 05,de Bundesliga,24,1993,2,0,36,0.4,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,0,1,4,0,0,0,0,0,0.23,0,0.23,0.23,0.23,Matches,c0a0c18f
2211,Mario Sampirisi,it ITA,DF,Crotone,it Serie A,24,1992,31,24,2194,24.4,0,0,0,0,0,0,2,0,0.3,0.3,0.8,1.1,24,109,33,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,Matches,cda2ec29
2212,Mikel San José,es ESP,MF,Athletic Club,es La Liga,28,1989,26,24,2155,23.9,1,1,2,1,0,0,5,0,1.6,1.6,1.2,2.8,16,121,36,0.04,0.04,0.08,0.04,0.08,0.07,0.05,0.12,0.07,0.12,Matches,003a5c72
2213,Antonio Sanabria,py PAR,FW,Betis,es La Liga,21,1996,17,8,853,9.5,8,0,8,8,0,0,0,0,5.1,5.1,0.1,5.2,11,7,51,0.84,0,0.84,0.84,0.84,0.54,0.01,0.55,0.54,0.55,Matches,0a447501
2214,Renato Sanches,pt POR,MF,Swansea City,eng Premier League,19,1997,12,9,702,7.8,0,0,0,0,0,0,1,0,0.5,0.5,0.3,0.8,32,45,33,0,0,0,0,0,0.06,0.04,0.1,0.06,0.1,Matches,032f894e
2215,Alexis Sánchez,cl CHI,MFFW,Arsenal,eng Premier League,28,1988,19,17,1503,16.7,7,3,10,6,1,1,4,0,8.1,7.3,4.9,12.2,50,149,218,0.42,0.18,0.6,0.36,0.54,0.49,0.29,0.78,0.44,0.73,Matches,2c0f8e9e
2216,Alexis Sánchez,cl CHI,FWMF,Manchester Utd,eng Premier League,28,1988,12,12,1043,11.6,2,3,5,2,0,1,1,0,2.7,1.8,2.4,4.3,29,70,102,0.17,0.26,0.43,0.17,0.43,0.23,0.21,0.44,0.16,0.37,Matches,2c0f8e9e
2217,Carlos Sánchez,co COL,MFDF,Fiorentina,it Serie A,31,1986,9,3,368,4.1,1,0,1,1,0,0,2,0,0.8,0.8,0,0.8,2,21,2,0.24,0,0.24,0.24,0.24,0.21,0,0.21,0.21,0.21,Matches,50b51fac
2218,Carlos Sánchez,co COL,MF,Espanyol,es La Liga,31,1986,14,13,1122,12.5,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.4,2,36,3,0,0,0,0,0,0.01,0.03,0.03,0.01,0.03,Matches,50b51fac
2219,Davinson Sánchez,co COL,DF,Tottenham,eng Premier League,21,1996,31,29,2534,28.2,0,0,0,0,0,0,1,1,0.5,0.5,0.1,0.7,8,82,2,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches,da7b447d
